scientific_name,common_name,plant_type,region_1_water_use,region_1_et0,region_1_plant_factor,region_2_water_use,region_2_et0,region_2_plant_factor,region_3_water_use,region_3_et0,region_3_plant_factor,region_4_water_use,region_4_et0,region_4_plant_factor,region_5_water_use,region_5_et0,region_5_plant_factor,region_6_water_use,region_6_et0,region_6_plant_factor
Hibiscus syriacus Petite Pink Flamingo™,Petite Pink Flamingo rose of Sharon,Shrub,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hibiscus syriacus Pink Chiffon®,Pink Chiffon rose of Sharon,Shrub,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hilaria rigida (Pleuraphis rigida),big galleta grass,"Ornamental Grass, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A
Himalayacalamus falconeri Damarapa',candy cane bamboo,"Shrub, Tree, Bamboo",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Himalayacalamus hookerianus cvs.,blue bamboo,"Shrub, Bamboo",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hippeastrum spp.,amaryllis,Bulb,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hippolytia herderi (Tanacetum herderi),hippolytia,Perennial,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hoita macrostachya (Psoralea macrostachya),leather root,"Perennial, California Native",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Holboellia coriacea ''Cathedral Gem'',Cathedral Gem sausage vine,Vine,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Holmskioldia sanguinea,Chinese hat plant,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Holodiscus discolor,sea foam,"Shrub, California Native",Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Holodiscus discolor var. microphyllus (Holodiscus microphyllus),rock spirea,"Shrub, California Native",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Homalanthus populneus,Queensland poplar,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Homalocladium platycladum,ribbon bush,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Homeria spp.,cape tulip,Bulb,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Homoglad hybrids,hybrid homoglad,Bulb,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hordeum brachyantherum,Meadow barley,"Ornamental Grass, California Native",Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Horkelia californica,horkelia,"Perennial, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Horkelia cuneata,wedge leaf horkelia,"Perennial, California Native",Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Horkelia parryi,Parry's horkelia,"Perennial, California Native",Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hosackia crassifolia  var. otayensis (Lotus crassifolius var. otayensis),Otay Mountain lotus,"Perennial, California Native",Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hosta spp. (shade),plantain lily,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Houttuynia cordata 'Chameleon',chameleon houttuynia,Perennial,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hovenia dulcis,Japanese raisin tree,Tree,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Howea forsteriana,Kentia palm,"Tree, Palm and Cycad",Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hoya carnosa,wax plant,Vine,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Humata tyermanii,white rabbit's foot fern,Perennial,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Humulus lupulus,hops,Vine,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hunnemannia fumariifolia,Mexican tulip poppy,"Perennial, Arboretum All-Star",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hyacinthus spp.,hyacinth,Bulb,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Hydrangea angustipetala,willow leaf hydrangea,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hydrangea anomala petiolaris,climbing hydrangea,"Shrub, Vine",Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hydrangea arborescens,snowball hydrangea,Shrub,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hydrangea aspera villosa,lacecap hydrangea,Shrub,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hydrangea integrifolia,evergreen climbing hydrangea,Vine,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hydrangea macrophylla & cvs.,hydrangea,Shrub,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hydrangea paniculata 'LeeP1' White Wedding®,White Wedding Hydrangea,Shrub,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hydrangea paniculata 'Renhy' Vanilla Strawberry™,Vanilla Strawberry Hydrangea,Shrub,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hydrangea paniculata hybrids,peegee hydrangea,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hydrangea quercifolia,oakleaf hydrangea,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hydrangea quercifolia 'BIV01' Tara™,Tara oak leaf Hydrangea,Shrub,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hydrangea quercifolia 'Pee Wee',Pee Wee oak leaf Hydrangea,Shrub,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hydrangea serrata,blue bird hydrangea,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hylocereus undatus,dragon fruit,Vine,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hylotelephium spp. and cvs. (Some are Sedum),stone crop,"Perennial, Succulent",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hymenoclea salsola (Ambrosia),Burrobrush,Shrub,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hymenolepis parviflora  (Athanasia acerosa),golden coulter bush,Shrub,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hymenosporum flavum,sweet shade,Tree,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hymenoxys hoopesii (Helenium hoopesii),orange sneezeweed,"Perennial, California Native",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hypericum 'Hidcote',St. John's wort,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hypericum 'Rowallane',Rowall hypericum,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hypericum X inodorum 'Albury Purple',Albury purple hypericum,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hypericum X moserianum,gold flower,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hypericum aegypticum,dwarf St. John's Wort,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hypericum androsaemum,sweet amber,Shrub,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hypericum beanii,Henry St. John's wort,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hypericum calycinum,Aaron's beard,"Ground Cover, Shrub",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hypericum empetrifolium nanum,hypericum,"Ground Cover, Shrub",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hypericum frondosum,hypericum (frondosum),"Perennial, Shrub",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hypericum kalmianum,Kalm's St. John's wort,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hypericum kalmianum 'Deppe' Sunny Boulevard®,Sunny Boulevard St. John's wort,Shrub,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hypericum kelleri,Keller hypericum,"Ground Cover, Perennial",Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hypericum olympicum,olympic hypericum,Shrub,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Hypericum reptans,creeping St. John's wort,Ground Cover,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hypocalymma angustifolia 'Powder Puff',Powder Puff white myrtle,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hypocalymma cordifolium 'Golden Veil',variegated dwarf myrtle,Ground Cover,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Hypocalymma robustum,Swan River myrtle,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Iberis gibraltarica,Gibraltar candytuft,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Iberis sempervirens,evergreen candy tuft,Perennial,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Ilex aquifolium,English holly,Shrub,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Ilex cornuta  'Burfordii',Burford holly,Shrub,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Ilex crenata,box-leaved holly,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Ilex crenata 'Farrowone' Sky Box®,Sky box holly,Shrub,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Ilex decidua 'Warren's Red',Warren's red possumhaw,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Ilex dimorphophylla,Okinawan holly,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A
Ilex glabra,inkberry,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Ilex integra,mochi tree,Tree,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Ilex latifolia 'Purple Power',purple power holly,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Ilex vomitoria ssp. & cvs.,yaupon,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Ilex x 'Nellie R. Stevens',Nellie R. Stevens holly,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Ilex x 'RutHol 1',Emerald Collonade holly,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Ilex x altaclarensis 'Wilsonii',Wilson holly,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Ilex x meserveae,blue boy/girl etc. cvs.,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A
Illicium floridanum,anise tree,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Illicium floridanum 'Alba',white Florida anise-tree,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Illicium mexicanum,Mexican anise tree,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Illicium parviflorum,yellow anise tree,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
"Impatiens sodenii (I. oliveri, I. uguenensis)",poor man's rhododendron,"Perennial, Shrub",Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,High,70-90%,0.70-0.90,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Imperata cylindrica ssp. & cvs.,blood grass,Ornamental Grass,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Incarvillea arguta,Himalayan gloxinia,Perennial,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Incarvillea delavayi,hardy gloxinia,Perennial,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Indigofera australis,Australian indigo,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Indigofera decora (incarnata),Chinese indigo,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Indigofera heterantha,Himalayan indigo,Shrub,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Inula ensifolia,inula,Perennial,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Iochroma cyanea,violet tubeflower,Shrub,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Iochroma fuchsioides,red tubeflower,Shrub,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Iochroma grandiflora,large flower iochroma,Shrub,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Ipheion uniflorum,spring star flower,Bulb,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Ipomea indica (acuminata),blue dawn flower,Vine,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60
Ipomoea acuminata,Blue Dawn Morning Glory,"Perennial, Vine",Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Ipomoea albivenia,wild cotton,Vine,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Ipomoea fistulosa carnea,bloodleaf,Vine,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Ipomopsis rubra,standing cypress,Perennial,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Iris Louisiana hybrids,Louisiana iris,Perennial,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A,High,70-90%,0.70-0.90
Iris Pacific Coast hybrids,Pacific Coast hybrid iris,"Perennial, California Native, Arboretum All-Star",Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Iris douglasiana,Douglas iris,"Perennial, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Iris ensata,Japanese iris,Perennial,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Iris germanica,bearded iris,Perennial,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
